#starname       AV                   EBV                  RV
als19-709       4.100 +/- 0.039      0.818 +/- 0.083      5.012 +/- 0.511     
als8415         4.352 +/- 0.018      0.889 +/- 0.057      4.893 +/- 0.315     
als6268         2.362 +/- 0.018      0.490 +/- 0.038      4.818 +/- 0.380     
als606          2.536 +/- 0.017      0.568 +/- 0.025      4.465 +/- 0.199     
als612          3.976 +/- 0.036      0.769 +/- 0.030      5.170 +/- 0.206     
als909          2.109 +/- 0.036      0.379 +/- 0.031      5.569 +/- 0.468     
als952          2.746 +/- 0.036      0.552 +/- 0.040      4.976 +/- 0.366     
als1866         1.947 +/- 0.036      0.442 +/- 0.032      4.403 +/- 0.325     
als1883         2.744 +/- 0.036      0.609 +/- 0.033      4.507 +/- 0.252     
als17-390       2.086 +/- 0.036      0.330 +/- 0.036      6.327 +/- 0.690     
als3326         2.718 +/- 0.037      0.558 +/- 0.083      4.869 +/- 0.724     
als2711         1.980 +/- 0.036      0.466 +/- 0.050      4.244 +/- 0.460     
als543          3.381 +/- 0.037      0.778 +/- 0.051      4.346 +/- 0.290     
als6255         2.962 +/- 0.042      0.634 +/- 0.072      4.670 +/- 0.537     
als3097         1.612 +/- 0.039      0.313 +/- 0.107      5.156 +/- 1.774     
als3194         2.269 +/- 0.035      0.406 +/- 0.023      5.584 +/- 0.326     
als3382         2.794 +/- 0.037      0.630 +/- 0.050      4.437 +/- 0.358     
als14-450       1.731 +/- 0.037      0.386 +/- 0.067      4.485 +/- 0.786     
als14-451       2.254 +/- 0.036      0.487 +/- 0.028      4.624 +/- 0.272     
als3909         1.781 +/- 0.036      0.420 +/- 0.055      4.244 +/- 0.568     
als4097         1.880 +/- 0.036      0.386 +/- 0.058      4.864 +/- 0.735     
als14-442       3.860 +/- 0.035      0.551 +/- 0.041      7.002 +/- 0.524     
als4503         3.417 +/- 0.035      0.679 +/- 0.025      5.033 +/- 0.190     
als4647         3.368 +/- 0.037      0.585 +/- 0.065      5.756 +/- 0.640     
als4709         2.891 +/- 0.036      0.615 +/- 0.051      4.698 +/- 0.395     
als5119         2.049 +/- 0.036      0.455 +/- 0.075      4.500 +/- 0.747     
als9969         2.602 +/- 0.036      0.498 +/- 0.058      5.224 +/- 0.615     
als10-541       1.463 +/- 0.037      0.345 +/- 0.092      4.236 +/- 1.128     
als11-061       1.673 +/- 0.038      0.302 +/- 0.103      5.539 +/- 1.899     
als11-832       1.433 +/- 0.036      0.337 +/- 0.074      4.249 +/- 0.940     
als7875         2.219 +/- 0.036      0.494 +/- 0.036      4.489 +/- 0.331     
als8139         1.945 +/- 0.037      0.363 +/- 0.077      5.357 +/- 1.134     
als8333         1.924 +/- 0.036      0.382 +/- 0.059      5.031 +/- 0.776     
hd036982        1.778 +/- 0.018      0.348 +/- 0.035      5.115 +/- 0.521     
als8929         1.435 +/- 0.036      0.350 +/- 0.061      4.098 +/- 0.717     
als19-498       2.244 +/- 0.036      0.316 +/- 0.044      7.108 +/- 0.988     
als698          2.062 +/- 0.037      0.427 +/- 0.075      4.824 +/- 0.849     
als759          1.611 +/- 0.037      0.414 +/- 0.086      3.890 +/- 0.815     
als16-015       1.441 +/- 0.039      0.363 +/- 0.103      3.972 +/- 1.135     
als1260         1.781 +/- 0.043      0.505 +/- 0.174      3.528 +/- 1.222     
als14-129       1.407 +/- 0.036      0.346 +/- 0.068      4.065 +/- 0.809     
als2137         2.512 +/- 0.036      0.451 +/- 0.037      5.569 +/- 0.468     
als10-550       1.638 +/- 0.036      0.312 +/- 0.052      5.242 +/- 0.874     
als6905         1.885 +/- 0.037      0.370 +/- 0.068      5.094 +/- 0.945     
als1600         2.353 +/- 0.040      0.487 +/- 0.074      4.836 +/- 0.741     
als1723         1.889 +/- 0.036      0.436 +/- 0.031      4.330 +/- 0.323     
als2017         2.013 +/- 0.036      0.475 +/- 0.030      4.237 +/- 0.281     
als1549         1.724 +/- 0.038      0.367 +/- 0.057      4.696 +/- 0.739     
als1622         1.539 +/- 0.036      0.362 +/- 0.041      4.249 +/- 0.494     
als2192         2.126 +/- 0.036      0.422 +/- 0.050      5.037 +/- 0.600     
als15-406       1.387 +/- 0.038      0.322 +/- 0.066      4.307 +/- 0.897     
als1550         1.812 +/- 0.036      0.364 +/- 0.037      4.971 +/- 0.517     
als4412         3.713 +/- 0.036      0.678 +/- 0.050      5.479 +/- 0.409     
als2380         1.879 +/- 0.037      0.403 +/- 0.068      4.668 +/- 0.792     
als19-623       2.182 +/- 0.071      0.452 +/- 0.278      4.830 +/- 2.980     
als8228         3.211 +/- 0.036      0.503 +/- 0.063      6.382 +/- 0.800     
